Round Number,Date,Location,Home Team,Away Team
19,26/12/2018 15:00,Vicarage Road,Watford,Chelsea
20,29/12/2018 15:00,Amex Stadium,Brighton,Everton
20,29/12/2018 15:00,Turf Moor,Burnley,West Ham
20,29/12/2018 15:00,Selhurst Park,Crystal Palace,Chelsea
20,29/12/2018 15:00,Craven Cottage,Fulham,Huddersfield
20,29/12/2018 15:00,King Power Stadium,Leicester,Cardiff
20,29/12/2018 15:00,Anfield,Liverpool,Arsenal
20,29/12/2018 15:00,Old Trafford,Man United,Bournemouth
20,29/12/2018 15:00,St. Mary's Stadium,Southampton,Man City
20,29/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Wolves
20,29/12/2018 15:00,Vicarage Road,Watford,Newcastle
21,01/01/2019 15:00,Emirates Stadium,Arsenal,Fulham
21,01/01/2019 15:00,Vitality Stadium,Bournemouth,Watford
21,01/01/2019 15:00,Cardiff City Stadium,Cardiff,Tottenham
21,01/01/2019 15:00,Stamford Bridge,Chelsea,Southampton
21,01/01/2019 15:00,Goodison Park,Everton,Leicester
21,01/01/2019 15:00,John Smith's Stadium,Huddersfield,Burnley
21,01/01/2019 15:00,Etihad Stadium,Man City,Liverpool
21,01/01/2019 15:00,St. James' Park,Newcastle,Man United
21,01/01/2019 15:00,London Stadium,West Ham,Brighton
21,01/01/2019 15:00,Molineux Stadium,Wolves,Crystal Palace
22,12/01/2019 15:00,Amex Stadium,Brighton,Liverpool
22,12/01/2019 15:00,Turf Moor,Burnley,Fulham
22,12/01/2019 15:00,Cardiff City Stadium,Cardiff,Huddersfield
22,12/01/2019 15:00,Stamford Bridge,Chelsea,Newcastle
22,12/01/2019 15:00,Selhurst Park,Crystal Palace,Watford
22,12/01/2019 15:00,Goodison Park,Everton,Bournemouth
22,12/01/2019 15:00,King Power Stadium,Leicester,Southampton
22,12/01/2019 15:00,Etihad Stadium,Man City,Wolves
22,12/01/2019 15:00,Tottenham Hotspur Stadium,Tottenham,Man United
22,12/01/2019 15:00,London Stadium,West Ham,Arsenal
23,19/01/2019 15:00,Emirates Stadium,Arsenal,Chelsea
23,19/01/2019 15:00,Vitality Stadium,Bournemouth,West Ham
23,19/01/2019 15:00,Craven Cottage,Fulham,Tottenham
23,19/01/2019 15:00,John Smith's Stadium,Huddersfield,Man City
23,19/01/2019 15:00,Anfield,Liverpool,Crystal Palace
23,19/01/2019 15:00,Old Trafford,Man United,Brighton
23,19/01/2019 15:00,St. James' Park,Newcastle,Cardiff
23,19/01/2019 15:00,St. Mary's Stadium,Southampton,Everton
23,19/01/2019 15:00,Vicarage Road,Watford,Burnley
23,19/01/2019 15:00,Molineux Stadium,Wolves,Leicester
24,29/01/2019 19:45,Emirates Stadium,Arsenal,Cardiff
24,29/01/2019 19:45,Vitality Stadium,Bournemouth,Chelsea
24,29/01/2019 19:45,Craven Cottage,Fulham,Brighton
24,29/01/2019 19:45,John Smith's Stadium,Huddersfield,Everton
24,29/01/2019 19:45,Molineux Stadium,Wolves,West Ham
24,29/01/2019 20:00,Old Trafford,Man United,Burnley
24,30/01/2019 19:45,St. James' Park,Newcastle,Man City
24,30/01/2019 19:45,St. Mary's Stadium,Southampton,Crystal Palace
24,30/01/2019 20:00,Anfield,Liverpool,Leicester
24,30/01/2019 20:00,Tottenham Hotspur Stadium,Tottenham,Watford
25,02/02/2019 15:00,Amex Stadium,Brighton,Watford
25,02/02/2019 15:00,Turf Moor,Burnley,Southampton
25,02/02/2019 15:00,Cardiff City Stadium,Cardiff,Bournemouth
25,02/02/2019 15:00,Stamford Bridge,Chelsea,Huddersfield
25,02/02/2019 15:00,Selhurst Park,Crystal Palace,Fulham
25,02/02/2019 15:00,Goodison Park,Everton,Wolves
25,02/02/2019 15:00,King Power Stadium,Leicester,Man United
25,02/02/2019 15:00,Etihad Stadium,Man City,Arsenal
25,02/02/2019 15:00,Tottenham Hotspur Stadium,Tottenham,Newcastle
25,02/02/2019 15:00,London Stadium,West Ham,Liverpool
26,09/02/2019 15:00,Amex Stadium,Brighton,Burnley
26,09/02/2019 15:00,Selhurst Park,Crystal Palace,West Ham
26,09/02/2019 15:00,Craven Cottage,Fulham,Man United
