MatchDate,HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Referee,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,Home,Draw,Away
22/09/2002,Aston Villa,Everton,3,2,H,1,0,H,J Winter,12,14,8,7,13,15,5,5,0,1,0,0,1.833,3.25,3.75,1.85,3.2,4,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.5,1.909,3.2,3.8,1.858666667,3.2,3.775
22/09/2002,Blackburn,Leeds,1,0,H,1,0,H,G Poll,11,7,7,5,24,14,7,2,1,2,0,0,2.75,3.25,2.25,2.75,3.2,2.3,2.9,3,2.2,2.6,3.2,2.375,2.63,3.2,2.38,2.8,3.2,2.3,2.738333333,3.175,2.300833333
23/09/2002,Fulham,Chelsea,0,0,D,0,0,D,P Durkin,8,11,3,4,16,15,5,3,1,0,0,0,2.625,3,2.5,2.65,3.15,2.47,2.7,3,2.3,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.375,2.704166667,3.141666667,2.3575
28/09/2002,Birmingham,Newcastle,0,2,A,0,1,A,S Bennett,11,13,5,6,18,9,5,10,3,0,0,0,2.625,3.2,2.375,2.55,3.05,2.45,2.7,3,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.579166667,3.15,2.420833333
28/09/2002,Bolton,Southampton,1,1,D,0,0,D,U Rennie,19,10,10,6,5,16,9,7,1,0,0,0,2,3.25,3.25,2.05,3.29,3.45,2,3.1,3.2,2.2,3.2,2.8,2,3.25,3.25,2,3.25,3.5,2.041666667,3.223333333,3.241666667
28/09/2002,Charlton,Man United,1,3,A,1,0,H,D Gallagher,7,13,3,7,12,8,3,6,2,3,0,0,4.5,3.4,1.667,4.9,3.45,1.68,4.2,3.2,1.7,4.33,3.2,1.73,4.5,3.4,1.67,5,3.4,1.67,4.571666667,3.341666667,1.686166667
28/09/2002,Chelsea,West Ham,2,3,A,1,1,D,M Dean,12,16,9,11,17,7,5,7,1,4,0,0,1.571,3.4,5.5,1.58,3.5,6,1.6,3.4,4.6,1.5,3.4,6,1.53,3.4,6,1.571,3.4,6,1.558666667,3.416666667,5.683333333
28/09/2002,Everton,Fulham,2,0,H,2,0,H,S Dunn,15,12,9,6,13,18,8,4,1,3,0,0,2.25,3.25,2.75,2.41,3.15,2.82,2.4,3,2.6,2.25,3.2,2.75,2.38,3.2,2.63,2.3,3.2,2.8,2.331666667,3.166666667,2.725
28/09/2002,Leeds,Arsenal,1,4,A,0,2,A,A Wiley,9,7,3,6,14,15,4,4,4,2,0,0,3,3.25,2.1,3.15,3.22,2.31,2.9,3,2.2,2.8,3.2,2.2,3,3.25,2.1,3,3.25,2.2,2.975,3.195,2.185
28/09/2002,Man City,Liverpool,0,3,A,0,1,A,P Durkin,14,9,6,6,7,9,12,3,0,0,0,0,2.8,3.25,2.2,3.05,3.25,2.23,2.9,3,2.2,3,3.4,2,2.8,3.25,2.2,3,3.25,2.2,2.925,3.233333333,2.171666667
28/09/2002,Sunderland,Aston Villa,1,0,H,0,0,D,N Barry,8,12,6,5,20,10,5,12,3,3,0,0,2.375,3,2.75,2.38,3.15,2.8,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.38,3.1,2.88,2.365833333,3.108333333,2.726666667
28/09/2002,Tottenham,Middlesboro,0,3,A,0,1,A,G Poll,12,18,4,12,9,11,4,11,1,1,0,0,1.833,3.25,3.75,1.93,3.3,3.9,1.9,3.1,3.5,1.73,3.4,4,1.8,3.2,4,1.909,3.25,3.75,1.850333333,3.25,3.816666667
30/09/2002,West Brom,Blackburn,0,2,A,0,0,D,M Halsey,9,10,8,5,14,15,7,2,1,1,0,0,2.6,3.2,2.4,2.47,3.27,2.6,2.5,3,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.6,3.2,2.5,2.545,3.178333333,2.48
05/10/2002,Middlesboro,Bolton,2,0,H,1,0,H,C Wilkes,13,11,2,4,9,10,5,5,0,3,0,0,1.533,3.5,5.5,1.67,3.42,4.81,1.6,3.4,4.6,1.57,3.5,5,1.53,3.4,6,1.571,3.5,5.75,1.579,3.453333333,5.276666667
05/10/2002,Newcastle,West Brom,2,1,H,1,1,D,C Foy,14,5,8,3,11,9,11,6,1,2,0,0,1.4,3.75,7.5,1.48,3.85,7.25,1.45,3.8,5.4,1.4,3.75,7,1.44,3.5,7,1.364,4,9,1.422333333,3.775,7.191666667
05/10/2002,Southampton,Man City,2,0,H,2,0,H,M Messias,19,11,13,4,15,9,8,5,2,2,1,0,2.3,3.2,2.7,2.36,3.2,2.82,2.3,3,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.2975,3.183333333,2.745
05/10/2002,West Ham,Birmingham,1,2,A,1,2,A,P Dowd,13,10,6,4,20,11,8,2,2,1,0,0,1.727,3.25,4.333,1.73,3.35,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.73,3.25,4.33,1.667,3.4,4.75,1.695666667,3.325,4.4405
06/10/2002,Arsenal,Sunderland,3,1,H,3,0,H,D Elleray,9,4,5,2,9,7,15,0,0,0,0,0,1.167,5.5,13,1.23,5.35,13.5,1.2,5,10,1.17,5.5,12,1.17,5.5,13,1.182,6,12,1.1865,5.475,12.25
06/10/2002,Aston Villa,Leeds,0,0,D,0,0,D,M Halsey,16,6,5,3,11,10,14,6,1,1,0,0,2.6,3.2,2.4,2.58,3.15,2.63,2.5,3,2.5,2.75,3,2.38,2.75,3.25,2.25,2.7,3.2,2.4,2.646666667,3.133333333,2.426666667
06/10/2002,Blackburn,Tottenham,1,2,A,0,1,A,A D'Urso,12,9,7,6,17,11,6,3,1,0,0,0,2.1,3.25,3,2.2,3.2,3,2.1,3,3.1,2,3.2,3.2,2.1,3.25,3,2.05,3.25,3.2,2.091666667,3.191666667,3.083333333
06/10/2002,Fulham,Charlton,1,0,H,1,0,H,J Winter,9,14,5,7,9,13,4,8,1,2,0,0,1.667,3.4,4.5,1.76,3.3,4.4,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.75,1.721166667,3.3,4.38
06/10/2002,Liverpool,Chelsea,1,0,H,0,0,D,G Barber,12,8,8,0,10,13,3,1,0,2,0,0,1.727,3.25,4.333,1.75,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.83,3.25,3.75,1.727,3.25,4.5,1.752333333,3.241666667,4.218833333
07/10/2002,Man United,Everton,3,0,H,0,0,D,M Riley,17,8,12,4,14,12,7,1,0,2,0,1,1.3,4.5,8,1.29,4.75,9.5,1.25,4.5,9,1.29,4.33,9,1.25,4.5,10,1.286,4.5,10,1.277666667,4.513333333,9.25
